comment,clean_comment
Without nattu kaka jethalals shop is incomplete 😢,without nattu kaka jethalals shop is incomplete
Bhaga aur nattu kaka main bhohat fark h bagha pe kis kis ko gussa aaraha h,bhaga aur nattu kaka main bhohat fark h bagha pe kis kis ko gussa aaraha h
Ye bhaga bkl kuch v thik se kaam ny kr ta h,ye bhaga bkl kuch v thik se kaam ny kr ta h
😂😂❤❤🎉🎉,
2025,
Hamari mohalle ki sari bhabhiyan bhi humko aise hi chane ke jhand me chadha deti hai humko 😅,hamari mohalle ki sari bhabhiyan bhi humko aise hi chane ke jhand me chadha deti hai humko
23:01 😮,
57:44 to 58:19 full of comedy scene of bhide and mehta😂😂😂😂😂😂😂,to full of comedy scene of bhide and mehta
😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,
06:56😂😂😂,
Jethalal jesa Seth kaha mile the hye😢😊,jethalal jesa seth kaha mile the hye
Really loved tge way jetha daya and everyone was rensed for bagha,really loved tge way jetha daya and everyone was rensed for bagha
😂,
Babita Iyer k pyaar me bhukhi rahi thi to Iyer ne propose day kyn mnaya?? Iyer ne to propose kiya hi nahi! 🤣,babita iyer k pyaar me bhukhi rahi thi to iyer ne propose day kyn mnaya iyer ne to propose kiya hi nahi
54:30 Dil gayab ho gya best reaction by Hathi😂,dil gayab ho gya best reaction by hathi
😅😅😅😅😅😅😅😅😅😢😢😢😢😢😢😢😅😅😅😅😅😢😢😢😢😅😅😅😅😅😢😢😢😢😢😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉 18:55,
This episode is very funny 😅😂,this episode is very funny
I love u❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉,i love u
50..15 ......ya kuta wala  music hai 😂😂😂,ya kuta wala music hai
Jetha lal ko parisan keliye bagha ka peida he,jetha lal ko parisan keliye bagha ka peida he
15:33 wow 😂😂😂,wow
"Ye daya bsdki पाखंड ki dukan hai 
Har bat pr science ko fail mankar apni maa ke पाखंड ko फैलाने ka Kam kr Rahi hai 😡😡

Daya ko es show se nikalkar acha kia",ye daya bsdki ki dukan hai har bat pr science ko fail mankar apni maa ke ko ka kam kr rahi hai daya ko es show se nikalkar acha kia
@aarii_music_beawar,
@aarii_music_bwr,
11:45 chillane ki kya jarurat hai 😂😂,chillane ki kya jarurat hai
7:47,
Sabki prem kahaniyan sun kar Champak chla muthhi marne 😂😂,sabki prem kahaniyan sun kar champak chla muthhi marne
First Sohdi sabse jyada sabse jyada bekar 2 theek hai 3 gokuldam mukunda kisan,first sohdi sabse jyada sabse jyada bekar theek hai gokuldam mukunda kisan
1:00:05 maintenance tw diya hi nhi,maintenance tw diya hi nhi
Mujhe toh bhut gussa aa raha bhaga par 😡😡,mujhe toh bhut gussa aa raha bhaga par
10:30,
Jathalal❌ Problem lal✔️,jathalal problem lal
Jethalal- Galti se mistake ho gayi 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂,jethalal galti se mistake ho gayi
This new Sodhi is so so so Cringe 😬,this new sodhi is so so so cringe
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
😂😂😂😂😂😂",
😂😂😂😂,
18:34,
7:47 😅 Magan 😂🤣,magan
"18:45pm sat, 31may 2025",pm sat may
Madhavi ki love story sunte hi champalal bhadak utha.. patience toot gaya budhe ka😂😂,madhavi ki love story sunte hi champalal bhadak utha patience toot gaya budhe ka
Worst episode 😅,worst episode
Iyer ke liye Babita ne bhookh hadtaal kari thi. 🤣,iyer ke liye babita ne bhookh hadtaal kari thi
Bagha ki salary Popat Lal se jyada h 😂 esa kse ho skta hai,bagha ki salary popat lal se jyada h esa kse ho skta hai
Iyar aur babita jhute hain car chori ke episode me iyar purpose krta h to wo kya tha😊,iyar aur babita jhute hain car chori ke episode me iyar purpose krta h to wo kya tha
Aurat ka chakkar babu bhaiya,aurat ka chakkar babu bhaiya
Bilkul sahi pyar bhoot aisha hi hota he sab kaam ulte hote he fir 😂,bilkul sahi pyar bhoot aisha hi hota he sab kaam ulte hote he fir
Daya aasi over act avaj nikal rahi hai mano abhi bachi hai boring 🎉,daya aasi over act avaj nikal rahi hai mano abhi bachi hai boring
Kon kon mummy ki sath dekh rahe h😂,kon kon mummy ki sath dekh rahe h
Bawri ka chakkar hai 😂😂😂,bawri ka chakkar hai
❤😂,
12:57 us popatlal,us popatlal
Sirre da fuduu sodi,sirre da fuduu sodi
18:00 maja aayaa popatiyo mast chamakya jethalal ne 😂😂,maja aayaa popatiyo mast chamakya jethalal ne
Jethalali tum baagu ko ek kheesh ke lagaao sab thik ho jayega double daphol dimag kharab kar diya mera 😡😡🙆🙆,jethalali tum baagu ko ek kheesh ke lagaao sab thik ho jayega double daphol dimag kharab kar diya mera
Bhide 😂😂,bhide
Jhethalal 😂😂,jhethalal
44:12 waah kya animation hai 😘😘😍😍,waah kya animation hai
Baihil,baihil
